"typ";"ertrag";"punkte_haupt";"punkte_anteil";"zeilen_haupt";"zeilen_neben";"jahre_haupt";"jahre_gesamt";"erster";"letzter";"basis";"kontext";"niveau_I";"niveau_II";"niveau_III";"schritte_mittel";"schritte_fehlt";"thema";"leitidee";"status"
"Kreissektor Anteil berechnen";"2";"2";"0.3";"1";"0";"1";"1";"2025";"2025";"1";"0";"1";"0";"0";"1.0";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Körperskizze beschriften";"2";"2";"0.3";"1";"0";"1";"1";"2015";"2015";"0";"1";"1";"0";"0";"0.0";"0";"Körper, Netze, Schrägbilder";"Raum und Form";"gültig"
"Mantelfläche Prisma berechnen";"2";"2";"0.3";"1";"0";"1";"1";"2019";"2019";"0";"1";"1";"0";"0";"2.0";"0";"Volumen und Oberfläche";"Größen und Messen";"gültig"
"Mantelfläche Zylinder berechnen";"2";"2";"0.3";"1";"0";"1";"1";"2018";"2018";"0";"1";"1";"0";"0";"2.0";"0";"Volumen und Oberfläche";"Größen und Messen";"gültig"
"Mantellinie Kegel bestimmen";"2";"2";"0.3";"1";"0";"1";"1";"2018";"2018";"0";"1";"0";"1";"0";"2.0";"0";"Satz des Pythagoras";"Größen und Messen";"gültig"
"Packungsanzahl in Quader bestimmen";"2";"2";"0.3";"1";"0";"1";"1";"2020";"2020";"0";"1";"0";"0";"1";"3.0";"0";"Körper, Netze, Schrägbilder";"Raum und Form";"gültig"
"Parabel aus Gleichung skizzieren";"2";"2";"0.3";"1";"0";"1";"1";"2024";"2024";"0";"1";"1";"0";"0";"1.0";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"gültig"
"Rechten Winkel begründen";"2";"2";"0.3";"1";"0";"1";"1";"2025";"2025";"0";"1";"0";"1";"0";"2.0";"0";"Ebene Figuren und Winkel";"Raum und Form";"gültig"
"Streifendiagramm zeichnen";"2";"2";"0.3";"1";"0";"1";"1";"2018";"2018";"0";"1";"0";"1";"0";"2.0";"0";"Daten darstellen";"Daten und Zufall";"gültig"
"Volumen aus Masse und Dichte berechnen";"2";"2";"0.3";"1";"0";"1";"1";"2016";"2016";"0";"1";"0";"1";"0";"2.0";"0";"Einheiten umrechnen";"Größen und Messen";"gültig"
"Volumenänderung bei doppeltem Radius begründen";"2";"2";"0.3";"1";"0";"1";"1";"2021";"2021";"0";"1";"0";"1";"0";"1.0";"0";"Volumen und Oberfläche";"Größen und Messen";"gültig"
"Wahrscheinlichkeit über Gegenereignis berechnen";"2";"2";"0.3";"1";"0";"1";"1";"2026";"2026";"0";"1";"0";"1";"0";"2.0";"0";"Wahrscheinlichkeit mehrstufig";"Daten und Zufall";"gültig"
"Zeitpunkt für Schwellenwert bei Wachstum bestimmen";"2";"2";"0.3";"1";"0";"1";"1";"2018";"2018";"0";"1";"0";"1";"0";"3.0";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"gültig"
"Zinseszins Endkapital berechnen";"2";"2";"0.3";"1";"0";"1";"1";"2014";"2014";"0";"1";"0";"1";"0";"2.0";"0";"Zinsrechnung";"Zahlen und Operationen";"gültig"
"Winkel aus Teilwinkeln berechnen";"1";"1";"0.1";"1";"2";"1";"3";"2014";"2018";"0";"1";"1";"0";"0";"1.0";"0";"Ebene Figuren und Winkel";"Raum und Form";"gültig"
"Nullstelle am Graphen ablesen";"1";"1";"0.1";"1";"1";"1";"2";"2015";"2019";"0";"1";"1";"0";"0";"0.0";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"gültig"
"Uhrzeit aus Startzeit und Dauer berechnen";"1";"1";"0.1";"1";"1";"1";"2";"2014";"2021";"1";"0";"1";"0";"0";"2.0";"0";"Einheiten umrechnen";"Größen und Messen";"gültig"
"Anzahl der Dreiecke aus Punkten bestimmen";"1";"1";"0.1";"1";"0";"1";"1";"2015";"2015";"0";"1";"0";"1";"0";"2.0";"0";"Zählen und Kombinatorik";"Daten und Zufall";"gültig"
"Ausgangswert aus Differenz berechnen";"1";"1";"0.1";"1";"0";"1";"1";"2017";"2017";"0";"1";"1";"0";"0";"1.0";"0";"Rationale Zahlen rechnen";"Zahlen und Operationen";"gültig"
"Dreiecksungleichung anwenden";"1";"1";"0.1";"1";"0";"1";"1";"2020";"2020";"1";"0";"1";"0";"0";"0.0";"0";"Ebene Figuren und Winkel";"Raum und Form";"gültig"
"Fehlenden Wert aus Mittelwert bestimmen";"1";"1";"0.1";"1";"0";"1";"1";"2022";"2022";"1";"0";"0";"1";"0";"2.0";"0";"Kenngrößen";"Daten und Zufall";"gültig"
"Figur nach Spiegelung benennen";"1";"1";"0.1";"1";"0";"1";"1";"2018";"2018";"1";"0";"1";"0";"0";"0.0";"0";"Symmetrie und Abbildungen";"Raum und Form";"gültig"
"Gegenfläche im Würfelnetz bestimmen";"1";"1";"0.1";"1";"0";"1";"1";"2016";"2016";"1";"0";"1";"0";"0";"0.0";"0";"Körper, Netze, Schrägbilder";"Raum und Form";"gültig"
"Graph einer linearen Funktion erkennen";"1";"1";"0.1";"1";"0";"1";"1";"2025";"2025";"1";"0";"1";"0";"0";"0.0";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"gültig"
"Große Zahl mit Zehnerpotenz multiplizieren";"1";"1";"0.1";"1";"0";"1";"1";"2015";"2015";"0";"1";"1";"0";"0";"1.0";"0";"Zehnerpotenzen und Näherungswerte";"Zahlen und Operationen";"gültig"
"Größte Zahl aus Ziffern bilden";"1";"1";"0.1";"1";"0";"1";"1";"2016";"2016";"0";"1";"1";"0";"0";"0.0";"0";"Zählen und Kombinatorik";"Daten und Zufall";"gültig"
"Kantenzahl eines Körpers angeben";"1";"1";"0.1";"1";"0";"1";"1";"2019";"2019";"1";"0";"1";"0";"0";"1.0";"0";"Körper, Netze, Schrägbilder";"Raum und Form";"gültig"
"Lage eines Punktes zu den Achsen erkennen";"1";"1";"0.1";"1";"0";"1";"1";"2020";"2020";"1";"0";"1";"0";"0";"0.0";"0";"Koordinaten und Zeichnen";"Raum und Form";"gültig"
"Längeneinheit mit Faktor umrechnen";"1";"1";"0.1";"1";"0";"1";"1";"2016";"2016";"0";"1";"1";"0";"0";"1.0";"0";"Einheiten umrechnen";"Größen und Messen";"gültig"
"Mitte zweier Zahlen bestimmen";"1";"1";"0.1";"1";"0";"1";"1";"2020";"2020";"1";"0";"1";"0";"0";"1.0";"0";"Brüche und Dezimalzahlen";"Zahlen und Operationen";"gültig"
"Portionen aus Gesamtmenge berechnen";"1";"1";"0.1";"1";"0";"1";"1";"2022";"2022";"1";"0";"1";"0";"0";"2.0";"0";"Einheiten umrechnen";"Größen und Messen";"gültig"
"Quadratseite aus Fläche berechnen";"1";"1";"0.1";"1";"0";"1";"1";"2020";"2020";"1";"0";"1";"0";"0";"1.0";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Rechteckseite aus Umfang berechnen";"1";"1";"0.1";"1";"0";"1";"1";"2018";"2018";"1";"0";"1";"0";"0";"2.0";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Relative Häufigkeit angeben";"1";"1";"0.1";"1";"0";"1";"1";"2015";"2015";"0";"1";"1";"0";"0";"1.0";"0";"Kenngrößen";"Daten und Zufall";"gültig"
"Satz des Pythagoras formulieren";"1";"1";"0.1";"1";"0";"1";"1";"2022";"2022";"1";"0";"1";"0";"0";"0.0";"0";"Satz des Pythagoras";"Größen und Messen";"gültig"
"Trigonometrische Gleichung nach Seite umstellen";"1";"1";"0.1";"1";"0";"1";"1";"2020";"2020";"1";"0";"1";"0";"0";"2.0";"0";"Trigonometrie im rechtwinkligen Dreieck";"Größen und Messen";"gültig"
"Umfang Rechteck berechnen";"1";"1";"0.1";"1";"0";"1";"1";"2026";"2026";"1";"0";"1";"0";"0";"1.0";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Volumen Würfel berechnen";"1";"1";"0.1";"1";"0";"1";"1";"2026";"2026";"1";"0";"1";"0";"0";"1.0";"0";"Volumen und Oberfläche";"Größen und Messen";"gültig"
"Vorzeichenregel anwenden";"1";"1";"0.1";"1";"0";"1";"1";"2015";"2015";"1";"0";"1";"0";"0";"0.0";"0";"Rationale Zahlen rechnen";"Zahlen und Operationen";"gültig"
"Wertetabelle einer Funktion zuordnen";"1";"1";"0.1";"1";"0";"1";"1";"2026";"2026";"1";"0";"1";"0";"0";"1.0";"0";"Funktionen allgemein";"Gleichungen und Funktionen";"gültig"
"Wurzel eines Quadrats berechnen";"1";"1";"0.1";"1";"0";"1";"1";"2015";"2015";"1";"0";"1";"0";"0";"1.0";"0";"Potenzen und Wurzeln";"Zahlen und Operationen";"gültig"
"y-Achsenabschnitt ablesen";"1";"1";"0.1";"1";"0";"1";"1";"2024";"2024";"1";"0";"1";"0";"0";"1.0";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"gültig"
"Behauptung prüfen";"0";"0";"0.0";"0";"36";"0";"12";"2014";"2026";"0";"0";"0";"0";"0";"";"0";"Wahrscheinlichkeit mehrstufig";"Daten und Zufall";"gültig"
"Mittelpunktswinkel berechnen";"0";"0";"0.0";"0";"4";"0";"4";"2015";"2024";"0";"0";"0";"0";"0";"";"0";"Daten darstellen";"Daten und Zufall";"gültig"
"Flächeninhalt Rechteck berechnen";"0";"0";"0.0";"0";"3";"0";"2";"2017";"2018";"0";"0";"0";"0";"0";"";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Parabel an der x-Achse spiegeln";"0";"0";"0.0";"0";"2";"0";"2";"2017";"2018";"0";"0";"0";"0";"0";"";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"gültig"
"Masse aus Volumen und Dichte berechnen";"0";"0";"0.0";"0";"1";"0";"1";"2019";"2019";"0";"0";"0";"0";"0";"";"0";"Einheiten umrechnen";"Größen und Messen";"gültig"
"Schnittpunkt am Graphen ablesen";"0";"0";"0.0";"0";"1";"0";"1";"2023";"2023";"0";"0";"0";"0";"0";"";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"gültig"
"Steigung in Prozent berechnen";"0";"0";"0.0";"0";"1";"0";"1";"2025";"2025";"0";"0";"0";"0";"0";"";"0";"Prozentrechnung";"Zahlen und Operationen";"gültig"
"Verpackungsmaße aus Körpermaßen bestimmen";"0";"0";"0.0";"0";"1";"0";"1";"2024";"2024";"0";"0";"0";"0";"0";"";"0";"Körper, Netze, Schrägbilder";"Raum und Form";"gültig"
"Veränderung des Mittelwerts begründen";"0";"0";"0.0";"0";"1";"0";"1";"2025";"2025";"0";"0";"0";"0";"0";"";"0";"Kenngrößen";"Daten und Zufall";"gültig"
"Volumen Kegel berechnen";"0";"0";"0.0";"0";"1";"0";"1";"2024";"2024";"0";"0";"0";"0";"0";"";"0";"Volumen und Oberfläche";"Größen und Messen";"gültig"
"Anstieg einer linearen Funktion aus Punkt und y-Achsenabschnitt berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"neu"
"Anteil aus der Wahrscheinlichkeit mehrerer unabhängiger Ereignisse zurückrechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Wahrscheinlichkeit mehrstufig";"Daten und Zufall";"neu"
"Anteil einer unterteilten Kreisfläche bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Brüche und Dezimalzahlen";"Zahlen und Operationen";"neu"
"Antiproportionale Zuordnung Dreisatz";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Zuordnungen proportional und antiproportional";"Gleichungen und Funktionen";"neu"
"Anzahl Kombinationen nach dem Zählprinzip bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Zählen und Kombinatorik";"Daten und Zufall";"neu"
"Anzahl Objekte aus Masse und Tragfähigkeit berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Volumen und Oberfläche";"Größen und Messen";"neu"
"Anzahl der Auswahlmöglichkeiten (Kombination) bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Zählen und Kombinatorik";"Daten und Zufall";"neu"
"Anzahl der Pfade zu einem Ereignis im Baumdiagramm zählen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Wahrscheinlichkeit mehrstufig";"Daten und Zufall";"neu"
"Aussage zu einer Winkelfunktion im rechtwinkligen Dreieck prüfen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Trigonometrie im rechtwinkligen Dreieck";"Größen und Messen";"neu"
"Aussage über eine mehrfach gebrochene Streckenteilung prüfen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Rationale Zahlen rechnen";"Zahlen und Operationen";"neu"
"Aussage über einen Logarithmusterm als Abstand zur y-Achse prüfen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"neu"
"Binomische Formel anwenden";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Terme umformen";"Zahlen und Operationen";"neu"
"Datenreihen anhand von Kenngrößen vergleichen und begründen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Kenngrößen";"Daten und Zufall";"neu"
"Dreieck aus Koordinaten als gleichschenklig-rechtwinklig nachweisen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Ebene Figuren und Winkel";"Raum und Form";"neu"
"Durchmesser einer Halbkugel aus der Oberfläche berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Volumen und Oberfläche";"Größen und Messen";"neu"
"Eigenschaften trigonometrischer Funktionen vergleichen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Trigonometrische Funktionen";"Gleichungen und Funktionen";"neu"
"Eignung einer Funktionsgleichung für einen Sachverhalt beurteilen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"neu"
"Ereignis zu Wahrscheinlichkeitsterm beschreiben";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Wahrscheinlichkeit mehrstufig";"Daten und Zufall";"neu"
"Erwartete Anzahl aus Wahrscheinlichkeit und Stichprobengröße berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Wahrscheinlichkeit einstufig";"Daten und Zufall";"neu"
"Exponentialfunktion vertikal verschieben und Schnittpunkt mit der y-Achse angeben";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"neu"
"Farbmenge aus Fläche und Ergiebigkeit berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Einheiten umrechnen";"Größen und Messen";"neu"
"Fehlende Schnittpunkte zweier Funktionen über Wertebereiche begründen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"neu"
"Fehlenden Wert aus Spannweite bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Kenngrößen";"Daten und Zufall";"neu"
"Fläche zweier Mantelflächen eines Prismas mit trapezförmiger Grundfläche berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Volumen und Oberfläche";"Größen und Messen";"neu"
"Flächenberechnung eines Vielecks anhand einer vorgegebenen Gleichung erläutern";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Ebene Figuren und Winkel";"Raum und Form";"neu"
"Flächeninhalt eines Drachenvierecks aus Diagonalen berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Flächeninhalt und Umfang";"Größen und Messen";"neu"
"Flächeninhalt eines Dreiecks aus Koordinaten berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Ebene Figuren und Winkel";"Raum und Form";"neu"
"Flächeninhalt eines Dreiecks aus drei Seiten berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Ebene Figuren und Winkel";"Raum und Form";"neu"
"Flächeninhalt eines Vierecks aus den Achsenschnittpunkten zweier Funktionsgraphen berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Ebene Figuren und Winkel";"Raum und Form";"neu"
"Flächeninhalt eines aus vier kongruenten rechtwinkligen Dreiecken zusammengesetzten Vierecks berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Flächeninhalt und Umfang";"Größen und Messen";"neu"
"Flächeninhalt eines gleichseitigen Dreiecks aus Umfang berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Flächeninhalt und Umfang";"Größen und Messen";"neu"
"Formel für die Tiefe eines Kegels aus Durchmesser und Öffnungswinkel herleiten";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Trigonometrie im rechtwinkligen Dreieck";"Größen und Messen";"neu"
"Funktionswerte einer Parabel im Sachkontext berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"neu"
"Gerade an der x-Achse spiegeln";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"neu"
"Gerade an der y-Achse spiegeln";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"neu"
"Geradengleichung aus Steigung und Punkt bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"neu"
"Geradengleichung einer Parallelen durch einen Punkt bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"neu"
"Gesamtmenge aus Pro-Kopf-Angabe, Anteil und Einwohnerzahl berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Prozentrechnung";"Zahlen und Operationen";"neu"
"Gleich große oder doppelt so große Winkel in einer aus kongruenten Dreiecken zusammengesetzten Figur kennzeichnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Ebene Figuren und Winkel";"Raum und Form";"neu"
"Gleichung einer Senkrechten aufstellen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"neu"
"Gleichverteilung der Trefferwahrscheinlichkeit begründen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Wahrscheinlichkeit mehrstufig";"Daten und Zufall";"neu"
"Graph einer Exponentialfunktion an der y-Achse spiegeln";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"neu"
"Graph einer trigonometrischen Funktion durch Streckung und Verschiebung beschreiben";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Trigonometrische Funktionen";"Gleichungen und Funktionen";"neu"
"Graph eines exponentiellen Vorgangs zeichnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"neu"
"Grundfläche eines Prismas im Körpernetz kennzeichnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Körper, Netze, Schrägbilder";"Raum und Form";"neu"
"Grundstücksbreiten aus einem in Teilflächen zerlegten Trapez bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Ähnlichkeit und Strahlensätze";"Raum und Form";"neu"
"Höhe eines Drachenvierecks aus geteiltem Winkel und Diagonalen berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Trigonometrie im rechtwinkligen Dreieck";"Größen und Messen";"neu"
"Innendurchmesser eines Kreisrings aus Flächeninhalt und Außendurchmesser berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Flächeninhalt und Umfang";"Größen und Messen";"neu"
"Kantenlänge einer quadratischen Grundfläche aus Volumen berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Volumen und Oberfläche";"Größen und Messen";"neu"
"Kantensumme eines Quaders mit Seitenlängen in Abhängigkeit von der Höhe berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Volumen und Oberfläche";"Größen und Messen";"neu"
"Kegelhöhe aus Mantellinie und Radius berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Satz des Pythagoras";"Größen und Messen";"neu"
"Kreisumfang berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Flächeninhalt und Umfang";"Größen und Messen";"neu"
"Kugeldurchmesser aus Anzahl nebeneinanderliegender Kugeln bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Volumen und Oberfläche";"Größen und Messen";"neu"
"Kugeloberfläche berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Volumen und Oberfläche";"Größen und Messen";"neu"
"Körper im Schrägbild darstellen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Körper, Netze, Schrägbilder";"Raum und Form";"neu"
"Lage zweier Geraden bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"neu"
"Lineare Funktion aus Steigung und Schnittbedingung bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"neu"
"Länge auf der Mantellinie eines Kegels bei Teilfüllung über Ähnlichkeit bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Ähnlichkeit und Strahlensätze";"Raum und Form";"neu"
"Mantelfläche einer Pyramide berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Volumen und Oberfläche";"Größen und Messen";"neu"
"Masse eines zusammengesetzten Körpers berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Volumen und Oberfläche";"Größen und Messen";"neu"
"Materialbedarf aus Längen berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Einheiten umrechnen";"Größen und Messen";"neu"
"Maximale Anzahl rechteckiger Objekte auf einer Fläche bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Flächeninhalt und Umfang";"Größen und Messen";"neu"
"Maximale ganzzahlige Menge aus Grenzwert berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Runden und Überschlag";"Zahlen und Operationen";"neu"
"Maße eines Körpers aus einem bemaßten Netz im Maßstab ablesen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Körper, Netze, Schrägbilder";"Raum und Form";"neu"
"Mehrere Kenngrößen zweier Datenreihen vergleichend bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Kenngrößen";"Daten und Zufall";"neu"
"Modalwert bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Kenngrößen";"Daten und Zufall";"neu"
"Neigungswinkel einer Geraden berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Trigonometrie im rechtwinkligen Dreieck";"Größen und Messen";"neu"
"Parabelgleichung aus Scheitel und Punkt bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"neu"
"Parabelgleichung aus Spannweite und Höhe eines Bogens bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"neu"
"Parabelgleichung aus zwei Nullstellen aufstellen und Nullstellen bestätigen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"neu"
"Parabeltransformation gegenüber der Normalparabel beschreiben";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"neu"
"Parameter einer Exponentialfunktion aus Graph bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"neu"
"Parameter einer Exponentialfunktion aus einer Wertetabelle bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"neu"
"Parameter einer Parabel aus Graph bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"neu"
"Parameter einer Wurzelfunktion aus einem Punkt bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Funktionen allgemein";"Gleichungen und Funktionen";"neu"
"Prozentanteil einer Rasterfläche markieren";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Prozentrechnung";"Zahlen und Operationen";"neu"
"Prozentuale Abweichung einer Modellfläche von der tatsächlichen Fläche berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Prozentrechnung";"Zahlen und Operationen";"neu"
"Prozentuale Abweichung eines Werts von einem Vergleichswert berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Prozentrechnung";"Zahlen und Operationen";"neu"
"Prozentualen Zuwachs aus Anfangs- und Endwert berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Prozentrechnung";"Zahlen und Operationen";"neu"
