"kennung";"jahr";"niveau";"teil";"sachgebiet";"gruppe";"hilfsmittel";"nr";"papier";"stapel";"seiten";"dublette_von"
"2024MerhoehtAStochastik11";"2024";"erhoeht";"A";"Stochastik";"1";"";"1";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAStochastik12";"2024";"erhoeht";"A";"Stochastik";"1";"";"2";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAStochastik21";"2024";"erhoeht";"A";"Stochastik";"2";"";"1";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAStochastik22";"2024";"erhoeht";"A";"Stochastik";"2";"";"2";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAStochastik23";"2024";"erhoeht";"A";"Stochastik";"2";"";"3";"2024-iqb-ea";"2024-ea-A";"3";""
"2024MerhoehtBAnalysisWTR1";"2024";"erhoeht";"B";"Analysis";"";"WTR";"1";"2024-iqb-ea";"2024-ea-B";"5";""
"2024MerhoehtBAnalysisWTR2";"2024";"erhoeht";"B";"Analysis";"";"WTR";"2";"2024-iqb-ea";"2024-ea-B";"5";""
"2024MerhoehtBAnalysisWTR3";"2024";"erhoeht";"B";"Analysis";"";"WTR";"3";"2024-iqb-ea";"2024-ea-B";"5";""
"2024MerhoehtBAnalysisMMS1";"2024";"erhoeht";"B";"Analysis";"";"MMS";"1";"2024-iqb-ea-mms";"2024-ea-B";"5";""
"2024MerhoehtBAnalysisMMS2";"2024";"erhoeht";"B";"Analysis";"";"MMS";"2";"2024-iqb-ea-mms";"2024-ea-B";"5";""
"2024MerhoehtBAGLAA1WTR";"2024";"erhoeht";"B";"AG/LA (A1)";"";"WTR";"";"2024-iqb-ea";"2024-ea-B";"4";""
"2024MerhoehtBAGLAA2WTR1";"2024";"erhoeht";"B";"AG/LA (A2)";"";"WTR";"1";"2024-iqb-ea";"2024-ea-B";"4";""
"2024MerhoehtBAGLAA2MMS1";"2024";"erhoeht";"B";"AG/LA (A2)";"";"MMS";"1";"2024-iqb-ea-mms";"2024-ea-B";"4";""
"2024MerhoehtBAGLAA2MMS2";"2024";"erhoeht";"B";"AG/LA (A2)";"";"MMS";"2";"2024-iqb-ea-mms";"2024-ea-B";"4";""
"2024MerhoehtBStochastikWTR1";"2024";"erhoeht";"B";"Stochastik";"";"WTR";"1";"2024-iqb-ea";"2024-ea-B";"4";""
"2024MerhoehtBStochastikWTR2";"2024";"erhoeht";"B";"Stochastik";"";"WTR";"2";"2024-iqb-ea";"2024-ea-B";"4";""
"2024MerhoehtBStochastikMMS1";"2024";"erhoeht";"B";"Stochastik";"";"MMS";"1";"2024-iqb-ea-mms";"2024-ea-B";"4";""
"2024MerhoehtBStochastikMMS2";"2024";"erhoeht";"B";"Stochastik";"";"MMS";"2";"2024-iqb-ea-mms";"2024-ea-B";"4";""
"2023MgrundlegendAAnalysis11";"2023";"grundlegend";"A";"Analysis";"1";"";"1";"2023-iqb-ga";"2023-ga-A";"2";""
"2023MgrundlegendAAnalysis12";"2023";"grundlegend";"A";"Analysis";"1";"";"2";"2023-iqb-ga";"2023-ga-A";"2";""
"2023MgrundlegendAAnalysis13";"2023";"grundlegend";"A";"Analysis";"1";"";"3";"2023-iqb-ga";"2023-ga-A";"2";""
"2023MgrundlegendAAnalysis2";"2023";"grundlegend";"A";"Analysis";"2";"";"";"2023-iqb-ga";"2023-ga-A";"2";""
"2023MgrundlegendAAGLAA111";"2023";"grundlegend";"A";"AG/LA (A1)";"1";"";"1";"2023-iqb-ga";"2023-ga-A";"2";""
"2023MgrundlegendAAGLAA112";"2023";"grundlegend";"A";"AG/LA (A1)";"1";"";"2";"2023-iqb-ga";"2023-ga-A";"2";""
"2023MgrundlegendAAGLAA12";"2023";"grundlegend";"A";"AG/LA (A1)";"2";"";"";"2023-iqb-ga";"2023-ga-A";"2";""
"2023MgrundlegendAAGLAA211";"2023";"grundlegend";"A";"AG/LA (A2)";"1";"";"1";"2023-iqb-ga";"2023-ga-A";"2";"2023MgrundlegendAAGLAA111"
"2023MgrundlegendAAGLAA212";"2023";"grundlegend";"A";"AG/LA (A2)";"1";"";"2";"2023-iqb-ga";"2023-ga-A";"2";""
"2023MgrundlegendAAGLAA213";"2023";"grundlegend";"A";"AG/LA (A2)";"1";"";"3";"2023-iqb-ga";"2023-ga-A";"2";""
"2023MgrundlegendAAGLAA22";"2023";"grundlegend";"A";"AG/LA (A2)";"2";"";"";"2023-iqb-ga";"2023-ga-A";"2";""
"2023MgrundlegendAStochastik11";"2023";"grundlegend";"A";"Stochastik";"1";"";"1";"2023-iqb-ga";"2023-ga-A";"2";""
"2023MgrundlegendAStochastik12";"2023";"grundlegend";"A";"Stochastik";"1";"";"2";"2023-iqb-ga";"2023-ga-A";"2";""
"2023MgrundlegendAStochastik2";"2023";"grundlegend";"A";"Stochastik";"2";"";"";"2023-iqb-ga";"2023-ga-A";"2";""
"2023MgrundlegendBAnalysisWTR1";"2023";"grundlegend";"B";"Analysis";"";"WTR";"1";"2023-iqb-ga";"2023-ga-B";"4";""
"2023MgrundlegendBAnalysisWTR2";"2023";"grundlegend";"B";"Analysis";"";"WTR";"2";"2023-iqb-ga";"2023-ga-B";"4";""
"2023MgrundlegendBAnalysisMMS1";"2023";"grundlegend";"B";"Analysis";"";"MMS";"1";"2023-iqb-ga-mms";"2023-ga-B";"4";""
"2023MgrundlegendBAnalysisMMS2";"2023";"grundlegend";"B";"Analysis";"";"MMS";"2";"2023-iqb-ga-mms";"2023-ga-B";"5";""
"2023MgrundlegendBAGLAA1WTR";"2023";"grundlegend";"B";"AG/LA (A1)";"";"WTR";"";"2023-iqb-ga";"2023-ga-B";"4";""
"2023MgrundlegendBAGLAA1MMS";"2023";"grundlegend";"B";"AG/LA (A1)";"";"MMS";"";"2023-iqb-ga-mms";"2023-ga-B";"3";""
"2023MgrundlegendBAGLAA2WTR1";"2023";"grundlegend";"B";"AG/LA (A2)";"";"WTR";"1";"2023-iqb-ga";"2023-ga-B";"4";""
"2023MgrundlegendBAGLAA2WTR2";"2023";"grundlegend";"B";"AG/LA (A2)";"";"WTR";"2";"2023-iqb-ga";"2023-ga-B";"4";""
"2023MgrundlegendBAGLAA2MMS1";"2023";"grundlegend";"B";"AG/LA (A2)";"";"MMS";"1";"2023-iqb-ga-mms";"2023-ga-B";"3";""
"2023MgrundlegendBAGLAA2MMS2";"2023";"grundlegend";"B";"AG/LA (A2)";"";"MMS";"2";"2023-iqb-ga-mms";"2023-ga-B";"3";""
"2023MgrundlegendBStochastikWTR1";"2023";"grundlegend";"B";"Stochastik";"";"WTR";"1";"2023-iqb-ga";"2023-ga-B";"3";""
"2023MgrundlegendBStochastikWTR2";"2023";"grundlegend";"B";"Stochastik";"";"WTR";"2";"2023-iqb-ga";"2023-ga-B";"3";""
"2023MgrundlegendBStochastikWTR3";"2023";"grundlegend";"B";"Stochastik";"";"WTR";"3";"2023-iqb-ga";"2023-ga-B";"3";""
"2023MgrundlegendBStochastikMMS1";"2023";"grundlegend";"B";"Stochastik";"";"MMS";"1";"2023-iqb-ga-mms";"2023-ga-B";"3";"2023MgrundlegendBStochastikWTR1"
"2023MgrundlegendBStochastikMMS2";"2023";"grundlegend";"B";"Stochastik";"";"MMS";"2";"2023-iqb-ga-mms";"2023-ga-B";"3";"2023MgrundlegendBStochastikWTR2"
"2023MerhoehtAAnalysis11";"2023";"erhoeht";"A";"Analysis";"1";"";"1";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAAnalysis12";"2023";"erhoeht";"A";"Analysis";"1";"";"2";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAAnalysis13";"2023";"erhoeht";"A";"Analysis";"1";"";"3";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAAnalysis21";"2023";"erhoeht";"A";"Analysis";"2";"";"1";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAAnalysis22";"2023";"erhoeht";"A";"Analysis";"2";"";"2";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAAGLAA111";"2023";"erhoeht";"A";"AG/LA (A1)";"1";"";"1";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAAGLAA112";"2023";"erhoeht";"A";"AG/LA (A1)";"1";"";"2";"2023-iqb-ea";"2023-ea-A";"3";""
"2023MerhoehtAAGLAA12";"2023";"erhoeht";"A";"AG/LA (A1)";"2";"";"";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAAGLAA211";"2023";"erhoeht";"A";"AG/LA (A2)";"1";"";"1";"2023-iqb-ea";"2023-ea-A";"2";"2023MerhoehtAAGLAA111"
"2023MerhoehtAAGLAA212";"2023";"erhoeht";"A";"AG/LA (A2)";"1";"";"2";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAAGLAA213";"2023";"erhoeht";"A";"AG/LA (A2)";"1";"";"3";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAAGLAA221";"2023";"erhoeht";"A";"AG/LA (A2)";"2";"";"1";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAAGLAA222";"2023";"erhoeht";"A";"AG/LA (A2)";"2";"";"2";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAStochastik11";"2023";"erhoeht";"A";"Stochastik";"1";"";"1";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAStochastik12";"2023";"erhoeht";"A";"Stochastik";"1";"";"2";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAStochastik13";"2023";"erhoeht";"A";"Stochastik";"1";"";"3";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAStochastik21";"2023";"erhoeht";"A";"Stochastik";"2";"";"1";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtAStochastik22";"2023";"erhoeht";"A";"Stochastik";"2";"";"2";"2023-iqb-ea";"2023-ea-A";"2";""
"2023MerhoehtBAnalysisWTR1";"2023";"erhoeht";"B";"Analysis";"";"WTR";"1";"2023-iqb-ea";"2023-ea-B";"5";""
"2023MerhoehtBAnalysisWTR2";"2023";"erhoeht";"B";"Analysis";"";"WTR";"2";"2023-iqb-ea";"2023-ea-B";"4";""
"2023MerhoehtBAnalysisMMS1";"2023";"erhoeht";"B";"Analysis";"";"MMS";"1";"2023-iqb-ea-mms";"2023-ea-B";"5";""
"2023MerhoehtBAnalysisMMS2";"2023";"erhoeht";"B";"Analysis";"";"MMS";"2";"2023-iqb-ea-mms";"2023-ea-B";"4";""
"2023MerhoehtBAGLAA1WTR";"2023";"erhoeht";"B";"AG/LA (A1)";"";"WTR";"";"2023-iqb-ea";"2023-ea-B";"4";""
"2023MerhoehtBAGLAA1MMS";"2023";"erhoeht";"B";"AG/LA (A1)";"";"MMS";"";"2023-iqb-ea-mms";"2023-ea-B";"4";""
"2023MerhoehtBAGLAA2WTR1";"2023";"erhoeht";"B";"AG/LA (A2)";"";"WTR";"1";"2023-iqb-ea";"2023-ea-B";"4";""
"2023MerhoehtBAGLAA2WTR2";"2023";"erhoeht";"B";"AG/LA (A2)";"";"WTR";"2";"2023-iqb-ea";"2023-ea-B";"4";""
"2023MerhoehtBAGLAA2MMS1";"2023";"erhoeht";"B";"AG/LA (A2)";"";"MMS";"1";"2023-iqb-ea-mms";"2023-ea-B";"4";""
"2023MerhoehtBAGLAA2MMS2";"2023";"erhoeht";"B";"AG/LA (A2)";"";"MMS";"2";"2023-iqb-ea-mms";"2023-ea-B";"4";""
"2023MerhoehtBStochastikWTR1";"2023";"erhoeht";"B";"Stochastik";"";"WTR";"1";"2023-iqb-ea";"2023-ea-B";"4";""
"2023MerhoehtBStochastikWTR2";"2023";"erhoeht";"B";"Stochastik";"";"WTR";"2";"2023-iqb-ea";"2023-ea-B";"4";""
"2023MerhoehtBStochastikWTR3";"2023";"erhoeht";"B";"Stochastik";"";"WTR";"3";"2023-iqb-ea";"2023-ea-B";"4";""
"2023MerhoehtBStochastikMMS1";"2023";"erhoeht";"B";"Stochastik";"";"MMS";"1";"2023-iqb-ea-mms";"2023-ea-B";"4";"2023MerhoehtBStochastikWTR1"
"2023MerhoehtBStochastikMMS2";"2023";"erhoeht";"B";"Stochastik";"";"MMS";"2";"2023-iqb-ea-mms";"2023-ea-B";"4";"2023MerhoehtBStochastikWTR2"
"2022MgrundlegendAAnalysis11";"2022";"grundlegend";"A";"Analysis";"1";"";"1";"2022-iqb-ga";"2022-ga-A";"2";""
"2022MgrundlegendAAnalysis12";"2022";"grundlegend";"A";"Analysis";"1";"";"2";"2022-iqb-ga";"2022-ga-A";"2";""
"2022MgrundlegendAAnalysis13";"2022";"grundlegend";"A";"Analysis";"1";"";"3";"2022-iqb-ga";"2022-ga-A";"2";""
"2022MgrundlegendAAnalysis2";"2022";"grundlegend";"A";"Analysis";"2";"";"";"2022-iqb-ga";"2022-ga-A";"2";""
"2022MgrundlegendAAGLAA11";"2022";"grundlegend";"A";"AG/LA (A1)";"1";"";"";"2022-iqb-ga";"2022-ga-A";"2";""
"2022MgrundlegendAAGLAA12";"2022";"grundlegend";"A";"AG/LA (A1)";"2";"";"";"2022-iqb-ga";"2022-ga-A";"2";""
"2022MgrundlegendAAGLAA211";"2022";"grundlegend";"A";"AG/LA (A2)";"1";"";"1";"2022-iqb-ga";"2022-ga-A";"2";""
"2022MgrundlegendAAGLAA212";"2022";"grundlegend";"A";"AG/LA (A2)";"1";"";"2";"2022-iqb-ga";"2022-ga-A";"2";""
"2022MgrundlegendAAGLAA213";"2022";"grundlegend";"A";"AG/LA (A2)";"1";"";"3";"2022-iqb-ga";"2022-ga-A";"2";""
"2022MgrundlegendAAGLAA22";"2022";"grundlegend";"A";"AG/LA (A2)";"2";"";"";"2022-iqb-ga";"2022-ga-A";"2";""
"2022MgrundlegendAStochastik11";"2022";"grundlegend";"A";"Stochastik";"1";"";"1";"2022-iqb-ga";"2022-ga-A";"2";""
"2022MgrundlegendAStochastik12";"2022";"grundlegend";"A";"Stochastik";"1";"";"2";"2022-iqb-ga";"2022-ga-A";"2";""
"2022MgrundlegendAStochastik13";"2022";"grundlegend";"A";"Stochastik";"1";"";"3";"2022-iqb-ga";"2022-ga-A";"2";""
"2022MgrundlegendAStochastik2";"2022";"grundlegend";"A";"Stochastik";"2";"";"";"2022-iqb-ga";"2022-ga-A";"2";""
"2022MgrundlegendBAnalysisWTR1";"2022";"grundlegend";"B";"Analysis";"";"WTR";"1";"2022-iqb-ga";"2022-ga-B";"4";""
"2022MgrundlegendBAnalysisWTR2";"2022";"grundlegend";"B";"Analysis";"";"WTR";"2";"2022-iqb-ga";"2022-ga-B";"4";""
"2022MgrundlegendBAnalysisMMS1";"2022";"grundlegend";"B";"Analysis";"";"MMS";"1";"2022-iqb-ga-mms";"2022-ga-B";"4";""
"2022MgrundlegendBAnalysisMMS2";"2022";"grundlegend";"B";"Analysis";"";"MMS";"2";"2022-iqb-ga-mms";"2022-ga-B";"4";""
"2022MgrundlegendBAGLAA1WTR";"2022";"grundlegend";"B";"AG/LA (A1)";"";"WTR";"";"2022-iqb-ga";"2022-ga-B";"4";""
"2022MgrundlegendBAGLAA2WTR1";"2022";"grundlegend";"B";"AG/LA (A2)";"";"WTR";"1";"2022-iqb-ga";"2022-ga-B";"3";""
"2022MgrundlegendBAGLAA2WTR2";"2022";"grundlegend";"B";"AG/LA (A2)";"";"WTR";"2";"2022-iqb-ga";"2022-ga-B";"3";""
"2022MgrundlegendBAGLAA2MMS1";"2022";"grundlegend";"B";"AG/LA (A2)";"";"MMS";"1";"2022-iqb-ga-mms";"2022-ga-B";"3";""
"2022MgrundlegendBAGLAA2MMS2";"2022";"grundlegend";"B";"AG/LA (A2)";"";"MMS";"2";"2022-iqb-ga-mms";"2022-ga-B";"3";""
"2022MgrundlegendBStochastikWTR1";"2022";"grundlegend";"B";"Stochastik";"";"WTR";"1";"2022-iqb-ga";"2022-ga-B";"3";""
"2022MgrundlegendBStochastikWTR2";"2022";"grundlegend";"B";"Stochastik";"";"WTR";"2";"2022-iqb-ga";"2022-ga-B";"4";""
"2022MgrundlegendBStochastikMMS1";"2022";"grundlegend";"B";"Stochastik";"";"MMS";"1";"2022-iqb-ga-mms";"2022-ga-B";"3";"2022MgrundlegendBStochastikWTR1"
"2022MgrundlegendBStochastikMMS2";"2022";"grundlegend";"B";"Stochastik";"";"MMS";"2";"2022-iqb-ga-mms";"2022-ga-B";"3";""
"2022MerhoehtAAnalysis11";"2022";"erhoeht";"A";"Analysis";"1";"";"1";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtAAnalysis12";"2022";"erhoeht";"A";"Analysis";"1";"";"2";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtAAnalysis13";"2022";"erhoeht";"A";"Analysis";"1";"";"3";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtAAnalysis2";"2022";"erhoeht";"A";"Analysis";"2";"";"";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtAAGLAA111";"2022";"erhoeht";"A";"AG/LA (A1)";"1";"";"1";"2022-iqb-ea";"2022-ea-A";"3";""
"2022MerhoehtAAGLAA112";"2022";"erhoeht";"A";"AG/LA (A1)";"1";"";"2";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtAAGLAA12";"2022";"erhoeht";"A";"AG/LA (A1)";"2";"";"";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtAAGLAA211";"2022";"erhoeht";"A";"AG/LA (A2)";"1";"";"1";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtAAGLAA212";"2022";"erhoeht";"A";"AG/LA (A2)";"1";"";"2";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtAAGLAA213";"2022";"erhoeht";"A";"AG/LA (A2)";"1";"";"3";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtAAGLAA221";"2022";"erhoeht";"A";"AG/LA (A2)";"2";"";"1";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtAAGLAA222";"2022";"erhoeht";"A";"AG/LA (A2)";"2";"";"2";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtAStochastik11";"2022";"erhoeht";"A";"Stochastik";"1";"";"1";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtAStochastik12";"2022";"erhoeht";"A";"Stochastik";"1";"";"2";"2022-iqb-ea";"2022-ea-A";"3";""
"2022MerhoehtAStochastik13";"2022";"erhoeht";"A";"Stochastik";"1";"";"3";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtAStochastik21";"2022";"erhoeht";"A";"Stochastik";"2";"";"1";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtAStochastik22";"2022";"erhoeht";"A";"Stochastik";"2";"";"2";"2022-iqb-ea";"2022-ea-A";"2";""
"2022MerhoehtBAnalysisWTR1";"2022";"erhoeht";"B";"Analysis";"";"WTR";"1";"2022-iqb-ea";"2022-ea-B";"5";""
"2022MerhoehtBAnalysisWTR2";"2022";"erhoeht";"B";"Analysis";"";"WTR";"2";"2022-iqb-ea";"2022-ea-B";"5";""
"2022MerhoehtBAnalysisWTR3";"2022";"erhoeht";"B";"Analysis";"";"WTR";"3";"2022-iqb-ea";"2022-ea-B";"4";""
"2022MerhoehtBAnalysisMMS1";"2022";"erhoeht";"B";"Analysis";"";"MMS";"1";"2022-iqb-ea-mms";"2022-ea-B";"5";""
"2022MerhoehtBAnalysisMMS2";"2022";"erhoeht";"B";"Analysis";"";"MMS";"2";"2022-iqb-ea-mms";"2022-ea-B";"5";""
"2022MerhoehtBAGLAA1WTR";"2022";"erhoeht";"B";"AG/LA (A1)";"";"WTR";"";"2022-iqb-ea";"2022-ea-B";"4";""
"2022MerhoehtBAGLAA1MMS";"2022";"erhoeht";"B";"AG/LA (A1)";"";"MMS";"";"2022-iqb-ea-mms";"2022-ea-B";"4";""
"2022MerhoehtBAGLAA2WTR1";"2022";"erhoeht";"B";"AG/LA (A2)";"";"WTR";"1";"2022-iqb-ea";"2022-ea-B";"4";""
"2022MerhoehtBAGLAA2WTR2";"2022";"erhoeht";"B";"AG/LA (A2)";"";"WTR";"2";"2022-iqb-ea";"2022-ea-B";"4";""
"2022MerhoehtBAGLAA2MMS1";"2022";"erhoeht";"B";"AG/LA (A2)";"";"MMS";"1";"2022-iqb-ea-mms";"2022-ea-B";"4";""
"2022MerhoehtBAGLAA2MMS2";"2022";"erhoeht";"B";"AG/LA (A2)";"";"MMS";"2";"2022-iqb-ea-mms";"2022-ea-B";"4";""
"2022MerhoehtBStochastikWTR1";"2022";"erhoeht";"B";"Stochastik";"";"WTR";"1";"2022-iqb-ea";"2022-ea-B";"4";""
"2022MerhoehtBStochastikWTR2";"2022";"erhoeht";"B";"Stochastik";"";"WTR";"2";"2022-iqb-ea";"2022-ea-B";"4";""
"2022MerhoehtBStochastikMMS1";"2022";"erhoeht";"B";"Stochastik";"";"MMS";"1";"2022-iqb-ea-mms";"2022-ea-B";"4";"2022MerhoehtBStochastikWTR1"
"2022MerhoehtBStochastikMMS2";"2022";"erhoeht";"B";"Stochastik";"";"MMS";"2";"2022-iqb-ea-mms";"2022-ea-B";"4";"2022MerhoehtBStochastikWTR2"
"2022MerhoehtBStochastikMMS3";"2022";"erhoeht";"B";"Stochastik";"";"MMS";"3";"2022-iqb-ea-mms";"2022-ea-B";"4";""
"2021MgrundlegendAAnalysis11";"2021";"grundlegend";"A";"Analysis";"1";"";"1";"2021-iqb-ga";"2021-ga-A";"2";""
"2021MgrundlegendAAnalysis12";"2021";"grundlegend";"A";"Analysis";"1";"";"2";"2021-iqb-ga";"2021-ga-A";"2";""
"2021MgrundlegendAAnalysis13";"2021";"grundlegend";"A";"Analysis";"1";"";"3";"2021-iqb-ga";"2021-ga-A";"2";""
"2021MgrundlegendAAnalysis2";"2021";"grundlegend";"A";"Analysis";"2";"";"";"2021-iqb-ga";"2021-ga-A";"2";""
"2021MgrundlegendAAGLAA111";"2021";"grundlegend";"A";"AG/LA (A1)";"1";"";"1";"2021-iqb-ga";"2021-ga-A";"3";""
"2021MgrundlegendAAGLAA112";"2021";"grundlegend";"A";"AG/LA (A1)";"1";"";"2";"2021-iqb-ga";"2021-ga-A";"2";""
"2021MgrundlegendAAGLAA12";"2021";"grundlegend";"A";"AG/LA (A1)";"2";"";"";"2021-iqb-ga";"2021-ga-A";"2";""
"2021MgrundlegendAAGLAA211";"2021";"grundlegend";"A";"AG/LA (A2)";"1";"";"1";"2021-iqb-ga";"2021-ga-A";"2";""
"2021MgrundlegendAAGLAA212";"2021";"grundlegend";"A";"AG/LA (A2)";"1";"";"2";"2021-iqb-ga";"2021-ga-A";"2";"2021MgrundlegendAAGLAA112"
"2021MgrundlegendAAGLAA22";"2021";"grundlegend";"A";"AG/LA (A2)";"2";"";"";"2021-iqb-ga";"2021-ga-A";"2";"2021MgrundlegendAAGLAA12"
"2021MgrundlegendAStochastik11";"2021";"grundlegend";"A";"Stochastik";"1";"";"1";"2021-iqb-ga";"2021-ga-A";"2";""
"2021MgrundlegendAStochastik12";"2021";"grundlegend";"A";"Stochastik";"1";"";"2";"2021-iqb-ga";"2021-ga-A";"2";""
"2021MgrundlegendAStochastik2";"2021";"grundlegend";"A";"Stochastik";"2";"";"";"2021-iqb-ga";"2021-ga-A";"2";""
"2021MgrundlegendBAnalysisWTR";"2021";"grundlegend";"B";"Analysis";"";"WTR";"";"2021-iqb-ga";"2021-ga-B";"4";""
"2021MgrundlegendBAnalysisCAS";"2021";"grundlegend";"B";"Analysis";"";"CAS";"";"2021-iqb-ga-mms";"2021-ga-B";"4";""
"2021MgrundlegendBAGLAA1WTR";"2021";"grundlegend";"B";"AG/LA (A1)";"";"WTR";"";"2021-iqb-ga";"2021-ga-B";"3";""
"2021MgrundlegendBAGLAA2WTR1";"2021";"grundlegend";"B";"AG/LA (A2)";"";"WTR";"1";"2021-iqb-ga";"2021-ga-B";"3";""
"2021MgrundlegendBAGLAA2WTR2";"2021";"grundlegend";"B";"AG/LA (A2)";"";"WTR";"2";"2021-iqb-ga";"2021-ga-B";"3";""
"2021MgrundlegendBAGLAA2CAS1";"2021";"grundlegend";"B";"AG/LA (A2)";"";"CAS";"1";"2021-iqb-ga-mms";"2021-ga-B";"3";"2021MgrundlegendBAGLAA2WTR1"
"2021MgrundlegendBAGLAA2CAS2";"2021";"grundlegend";"B";"AG/LA (A2)";"";"CAS";"2";"2021-iqb-ga-mms";"2021-ga-B";"3";""
"2021MgrundlegendBStochastikWTR1";"2021";"grundlegend";"B";"Stochastik";"";"WTR";"1";"2021-iqb-ga";"2021-ga-B";"3";""
"2021MgrundlegendBStochastikWTR2";"2021";"grundlegend";"B";"Stochastik";"";"WTR";"2";"2021-iqb-ga";"2021-ga-B";"3";""
"2021MgrundlegendBStochastikWTR3";"2021";"grundlegend";"B";"Stochastik";"";"WTR";"3";"2021-iqb-ga";"2021-ga-B";"3";""
"2021MgrundlegendBStochastikCAS1";"2021";"grundlegend";"B";"Stochastik";"";"CAS";"1";"2021-iqb-ga-mms";"2021-ga-B";"3";""
"2021MgrundlegendBStochastikCAS2";"2021";"grundlegend";"B";"Stochastik";"";"CAS";"2";"2021-iqb-ga-mms";"2021-ga-B";"3";""
"2021MerhoehtAAnalysis11";"2021";"erhoeht";"A";"Analysis";"1";"";"1";"2021-iqb-ea";"2021-ea-A";"2";""
"2021MerhoehtAAnalysis12";"2021";"erhoeht";"A";"Analysis";"1";"";"2";"2021-iqb-ea";"2021-ea-A";"2";""
"2021MerhoehtAAnalysis13";"2021";"erhoeht";"A";"Analysis";"1";"";"3";"2021-iqb-ea";"2021-ea-A";"2";""
"2021MerhoehtAAnalysis21";"2021";"erhoeht";"A";"Analysis";"2";"";"1";"2021-iqb-ea";"2021-ea-A";"2";""
"2021MerhoehtAAnalysis22";"2021";"erhoeht";"A";"Analysis";"2";"";"2";"2021-iqb-ea";"2021-ea-A";"2";""
"2021MerhoehtAAGLAA111";"2021";"erhoeht";"A";"AG/LA (A1)";"1";"";"1";"2021-iqb-ea";"2021-ea-A";"2";""
"2021MerhoehtAAGLAA112";"2021";"erhoeht";"A";"AG/LA (A1)";"1";"";"2";"2021-iqb-ea";"2021-ea-A";"2";""
"2021MerhoehtAAGLAA113";"2021";"erhoeht";"A";"AG/LA (A1)";"1";"";"3";"2021-iqb-ea";"2021-ea-A";"2";""
"2021MerhoehtAAGLAA121";"2021";"erhoeht";"A";"AG/LA (A1)";"2";"";"1";"2021-iqb-ea";"2021-ea-A";"2";""
"2021MerhoehtAAGLAA122";"2021";"erhoeht";"A";"AG/LA (A1)";"2";"";"2";"2021-iqb-ea";"2021-ea-A";"2";""
"2021MerhoehtAAGLAA211";"2021";"erhoeht";"A";"AG/LA (A2)";"1";"";"1";"2021-iqb-ea";"2021-ea-A";"2";""
"2021MerhoehtAAGLAA212";"2021";"erhoeht";"A";"AG/LA (A2)";"1";"";"2";"2021-iqb-ea";"2021-ea-A";"2";"2021MerhoehtAAGLAA112"
"2021MerhoehtAAGLAA213";"2021";"erhoeht";"A";"AG/LA (A2)";"1";"";"3";"2021-iqb-ea";"2021-ea-A";"2";""
"2021MerhoehtAAGLAA22";"2021";"erhoeht";"A";"AG/LA (A2)";"2";"";"";"2021-iqb-ea";"2021-ea-A";"2";"2021MerhoehtAAGLAA121"
"2021MerhoehtAStochastik11";"2021";"erhoeht";"A";"Stochastik";"1";"";"1";"2021-iqb-ea";"2021-ea-A";"2";""
"2021MerhoehtAStochastik12";"2021";"erhoeht";"A";"Stochastik";"1";"";"2";"2021-iqb-ea";"2021-ea-A";"2";""
