"typ";"leitidee";"thema";"definition";"beispiel_id";"status"
"Gesamtfläche aus mehreren Teilflächen berechnen";"Integralrechnung";"Fläche zwischen Graph und x-Achse";"Bei mehreren Nullstellen die von Graph und x-Achse eingeschlossene Fläche in Teilflächen zerlegen, jede betragsmäßig berechnen und die Beträge addieren.";"2021-B-1f";"geprüft"
"Anstieg einer Strecke aus den Endpunkten angeben";"Differentialrechnung";"Anstieg und Tangente";"Den Anstieg einer geradlinigen Strecke als Quotient aus Höhenunterschied und waagerechter Entfernung angeben, ohne eine Funktionsgleichung aufzustellen.";"2021-B-2a";"geprüft"
"Streckenlänge über den Satz des Pythagoras berechnen";"Grundlagen";"Größen und Einheiten";"Die Länge einer schrägen Strecke aus waagerechtem und senkrechtem Abstand ihrer Endpunkte mit dem Satz des Pythagoras berechnen.";"2021-B-2a";"geprüft"
"Flächeninhalt einer zusammengesetzten Figur berechnen";"Grundlagen";"Größen und Einheiten";"Eine aus Rechtecken und Dreiecken zusammengesetzte Figur zerlegen, die Teilflächen einzeln berechnen und addieren.";"2021-B-2b";"geprüft"
"Steilsten Anstieg über den Wendepunkt bestimmen";"Differentialrechnung";"Wendepunkte";"Erkennen, dass der Anstieg eines Graphen im Wendepunkt am größten ist, die Wendestelle bestimmen und dort den Wert der ersten Ableitung berechnen.";"2021-B-2d";"geprüft"
"Anzahl über das Zählprinzip berechnen";"Stochastik";"Kombinatorische Abzählverfahren";"Die Zahl der Möglichkeiten einer mehrteiligen Zusammenstellung als Produkt der Wahlmöglichkeiten je Teil berechnen.";"2021-B-3a";"geprüft"
"Fehlende Anzahl aus der Gesamtzahl der Möglichkeiten bestimmen";"Stochastik";"Kombinatorische Abzählverfahren";"Aus der bekannten Gesamtzahl der Möglichkeiten und den bekannten Faktoren die fehlende Anzahl durch Division bestimmen; Umkehrung des Zählprinzips.";"2021-B-3b";"geprüft"
"Baumdiagramm mehrstufig mit Zurücklegen darstellen";"Stochastik";"Mehrstufige Zufallsexperimente";"Ein Zufallsexperiment mit drei oder mehr Stufen, bei dem sich die Wahrscheinlichkeiten von Stufe zu Stufe nicht ändern, mit allen Ästen und Wahrscheinlichkeiten zeichnen.";"2021-B-3d";"geprüft"
"Erwartungswert berechnen";"Stochastik";"Erwartungswert";"Die Werte einer Zufallsgröße mit ihren Wahrscheinlichkeiten gewichten und aufsummieren, um den auf Dauer zu erwartenden Durchschnittswert zu erhalten.";"2021-B-3e";"geprüft"
"Fehlenden Wert aus vorgegebenem Mittelwert bestimmen";"Stochastik";"Statistische Kenngrößen";"Bei bekannten Häufigkeiten und bekanntem Zielmittelwert den einen unbekannten Einzelwert über eine Gleichung bestimmen; Umkehrung der Mittelwertberechnung.";"2021-A-3b";"geprüft"
